manufacturer_id,nm_manufacturer,country
61214,Khad Roses,Ecuador
61215,Shaddai Roses,Ecuador
61216,Valdesol,Ecuador
61217,Varen Flowers,Ecuador
61218,Moposa Flowers,Ecuador
61219,Narcsisa Flowers,Ecuador
61220,RB Flowers,Ecuador
61221,Fer Flowers,Ecuador
61222,Kaizen,Ecuador
61223,Magus Roses,Ecuador
61224,Mayerly Flowers,Ecuador
61225,Mercy Roses,Ecuador
61226,San Alfonso Roses,Ecuador
61227,Santa Clara,Ecuador
61228,Sky Valley,Ecuador
61229,ZC Roses,Ecuador
61230,Santino Flowers,Ecuador
61231,Snowy Flowers,Ecuador
61272,FloGreen Ecuador,Ecuador
61286,SCHREURS ECUADOR CIA LTDA,Ecuador
61287,Platonoff Roses,Ecuador
61289,Manzanares,Colombia
61303,FALCON FARMS DE COLOMBIA S.A.,Colombia
61367,Alisroses,Ecuador
61368,Flores Luna Nueva SAS,Colombia
61370,Solera Farms S.A.S.,Ecuador
61385,INVERSIONES DOSIL S.A.S,Colombia
61389,Teucali Flowers S.A,Colombia
61390,AMBAR FLOWERS,Ecuador
61393,CULTIVIOS MANZANARES,Colombia
61394,DAMAGRO FARMS,Ecuador
61395,ENDLESS SPRING,Ecuador
61396,FLORECOT,Ecuador
61397,Florequisa S.A.,Ecuador
61398,FLORES GUADALUPE LTDA,Colombia
61400,GREENFOREVER SAS,Ecuador
61401,GREENROSE,Ecuador
61404,HIGH GARDEN,Ecuador
61406,INCA FLOWERS,Ecuador
61408,JORDAN FARMS,Colombia
61409,LUXURY GARDENS BY RDC,Ecuador
61410,MAGNIFICAST,Ecuador
61411,MILROSE S.A,Ecuador
61412,NEUMANN,Ecuador
61414,PAMPA DEL RIO,Ecuador
61417,PROTEAS DE LA SABANA,Colombia
61419,SPLENDOR FARMS,Colombia
61421,BETEL FLOWERS,Ecuador
61422,BIOQUIRAMA SAS,Colombia
61424,FLORANROSA S.A.,Ecuador
61425,INVERSIONES DOSIL,Colombia
61427,TORDOTRADECORP,Ecuador
61428,VIVA FLOWERS SAS,Colombia
61458,MIRIAM FLOWERS S.A.S,Ecuador
61460,PYGANFLOR,Ecuador
61461,BTF FLOWERS,Ecuador
61462,FLORES DE LA GALICIA S.A.S,Colombia
61463,CAMPOS DE AROMA,Ecuador
61464,AGRIVALDANI S.A.S,Ecuador
61488,Ecuadorian Soul,Ecuador
61489,Olya Farms S.A.,Ecuador
61490,PROTEASSOLANDINO S.A.,Ecuador
61499,Santa Dorothea,Colombia
61504,Floricentra del Ecuador,Ecuador
61505,Flor Encanto,Ecuador
61506,San Emiliano,Ecuador
61507,Flores La Alegría,Ecuador
61508,Epic Farm,Ecuador
61509,Myrtis Farms,Ecuador
61510,LaVictoria,Ecuador
61511,Flores Latitud Cero,Ecuador
61563,Luisa Farms,Colombia
61564,Flores Isabelita,Colombia
61565,Flores La Virginia,Colombia
61566,Flores El Aljibe S.A.S.,Colombia
61567,Jardines de Chia S.A.S.,Colombia
61568,Flores El Cipres S.A.S.,Colombia
61569,Cultivos generales S.A.S.,Colombia
61570,Cultivos La Planicie S.A.S.,Colombia
61571,Flores de Bojacá S.A.S.,Colombia
61572,Florval S.A.S.,Colombia
61573,Flores El Hato S.A.S.,Colombia
61574,Jardines del Portal S.A.S.,Colombia
61575,Flores Las Acacias S.A.S.,Colombia
61576,Flores La Mana S.A.S.,Colombia
61577,MG Consultores S.A.S.,Colombia
61578,Melody Flowers S.A.S.,Colombia
61579,Mountain Roses S.A.S.,Colombia
61580,Quality Flowers S.A.S.,Colombia
61581,Cultivos Casablanca S.A.S.,Colombia
61582,Agroindustrias del Riofrio S.A.S.,Colombia
61583,Pardo Carrizoza Navas S.A.S.,Colombia
61584,SNF S.A.S.,Colombia
61585,Flores El Tandil S.A.S.,Colombia
61586,Flores El Trigal S.A.S.,Colombia
61587,Flores Ubaté S.A.S.,Colombia
61588,Follajes de Campo Alegre S.A.S.,Colombia
61589,Jardínes de la Cuesta S.A.S.,Colombia
61590,Jardines del Sol S.A.S.,Colombia
61591,Jardines de San Nicolás S.A.S.,Colombia
61599,C.I. San Francisco Garden S.A.S.,Colombia
61603,Flores el Picacho SAS,Colombia
61604,Flores Samarcanda SAS,Colombia
61605,GEOFLORA S.A.S,Colombia
61606,Montecarlo Gardens,Colombia
61611,Santillan Borja Raul Fernando,Ecuador
61613,GREENGROWERS S.A.S.,Ecuador
61616,C.I. Fillco Flowers SAS,Colombia
61620,Flores El Capiro,Colombia
61643,Deliflor Americas,Colombia
61661,"Proyecto Highland Blossoms, S.A.",Ecuador
61662,"Floricola Bloomingacres, S.A.",Ecuador
61663,"Volcano Gardens Plantaciones, S.A.",Ecuador
61699,Anniroses S.A,Ecuador
61700,Anthemon (Braulio Ivan Enriquez),Ecuador
61701,Bruma Botanics S.A.S,Ecuador
61703,Coop Farm,Ecuador
61704,Tavola International,Ecuador
61705,Cultivos del Norte,Colombia
61709,Starrose,Ecuador
61711,Andreanroses,Ecuador
61770,Floricola Tierra Verde Cia Ltda.,Ecuador
61771,Everbloom Roses Ecuador,Ecuador
61772,Flores de la Hacienda,Ecuador
61773,Benchmark Growers S.A.S.,Colombia
61774,Floricola Altascumbres C.L.,Ecuador
61780,Condor Andino Sas,Colombia
61781,El Zorro,Colombia
61782,Esperance Roses,Colombia
61783,Flores Sabanilla,Colombia
61784,Harmony Flowers,Colombia
61785,Latin Flowers Farms,Colombia
61786,Lolita Flores,Colombia
61787,Natural Farms,Colombia
61788,Royal Gardens,Colombia
61789,Amankay Farms,Ecuador
61790,Ariadne Flowers,Ecuador
61791,Crislen Roses,Ecuador
61792,Dear Roses,Ecuador
61793,Flor Julian,Ecuador
61794,Flores de la Hacienda,Ecuador
61795,Flores Rosee,Ecuador
61796,GoldenLand,Ecuador
61797,Jardines De Bolivar,Ecuador
61798,Loja Farms,Ecuador
61799,Megaflor,Ecuador
61800,Muru Flowers,Ecuador
61801,Myl Blooms Garden,Ecuador
61802,Only Stock,Ecuador
61803,Paradise Roses,Ecuador
61804,Sofi Farms Sas,Ecuador
61806,Flores Kikuyal,Colombia
61807,Ikebana,Colombia
61808,Alinatura SA,Ecuador
61809,Belen's Company Roses,Ecuador
61810,Discover Ecuador Sas,Ecuador
61811,Dreamer Farms,Ecuador
61812,Edana Floralba,Ecuador
61813,Golden Stems,Ecuador
61814,Infinity Roses,Ecuador
61815,La Alborada,Ecuador
61816,Latinflowers Cia Ltda,Ecuador
61817,Mulrosas,Ecuador
61818,Quimbiamba M Flowers,Ecuador
61819,San Jorge,Ecuador
61820,SaniRoses,Ecuador
61821,Susi Flowers,Ecuador
61822,Mago Flowers,Ecuador
61887,Flores del Este,Colombia
61888,Utopia Farms UTF S.A.S. -Sta. Martha,Ecuador
61918,Dimehk Business Y Shiping Corporation - Ecopacha,Ecuador
61919,Valleverde - Farms S.A.S.,Ecuador
61924,Flores La Union,Ecuador
61925,SAPPHIREROSES S.A.,Ecuador
61931,Lomcen S.C.,Ecuador
61961,Flores de Pueblo Viejo S.A.S,Colombia
61969,Flores de la Villa,Colombia
61970,La Montaña,Colombia
61971,Plantas Kumanday,Colombia
61972,Surandina de Flores,Colombia
61973,Tone Flowers,Colombia
61974,Villa Rose,Colombia
61975,Plantas La Victoria,Colombia
61976,Andy Jhois Flowers,Ecuador
61977,Bloomec Ecuador,Ecuador
61978,Floramar,Ecuador
61979,High Connection,Ecuador
61980,Royalty-Flowers SA,Ecuador
61981,Santa Clara Gardens,Ecuador
61982,Domenica Flowers,Ecuador
61987,Flores El Rebaño S.A.S.,Colombia
61994,LIWI FLOR ETERNA SAS,Colombia
62021,Flores de Britania,Colombia
62022,Fleuro S.A. Fleurosa,Ecuador
62035,Fiori Colombia S.A.S.,Colombia
62049,Joseth & Maximiliam Flowers S.A.,Ecuador
62050,Dulces Rosas - Calipso,Ecuador
62051,Rosemirovich Roses Cia. Ltda,Ecuador
62098,Holex Ecuador S.A.S.,Ecuador
62112,Rosesuccess Cia Ltda,Ecuador
62119,Ecofillers,Colombia
62120,Alison Flowers,Ecuador
62121,Anthonela Farms,Ecuador
62122,Birth of Roses,Ecuador
62123,Blum Expression,Ecuador
62124,DJ Flowers,Ecuador
62125,Frama Flowers,Ecuador
62126,Infinity Love,Ecuador
62127,Kaymin Corp,Ecuador
62128,Petrona Flowers,Ecuador
62129,Rose Sensation Farm,Ecuador
62130,Supreme Flor,Ecuador
62138,FLORES DE LA HACIENDA SAS,Colombia
62162,Sociedad Civil y Comercial Carolina Gardens,Ecuador
62163,Florícola León Roses (Carlos Bolívar Herrera Pozo),Ecuador
62164,Florícola Jardín del Norte Jardinorec Cia. Ltda.,Ecuador
62169,Exportadora de Flores Expoflor Cia Ltda,Ecuador
62170,Oasisflower S.A.S.,Ecuador
62171,Amazingroses Cia Ltda,Ecuador
62172,Buitron Mantilla Paul Enrique,Ecuador
62173,Suasuque S.A.S.,Colombia
62178,SB Talee S.A.S.,Colombia
62195,"Roseland Farm, S.A.",Ecuador
62206,Presh Tech,Colombia
62207,Ornamentales de Colombia SAS,Colombia
62208,The Green Genie,Colombia
62209,Varietta,Colombia
62210,Altas Cumbres,Ecuador
62211,Collas Flowers,Ecuador
62212,Dimaflora Export,Ecuador
62213,Herrera Farms,Ecuador
62214,Kamylas Flowers,Ecuador
62216,Lucy Roses,Ecuador
62217,Luxus Blumen,Ecuador
62218,Merizalde & Ramirez,Ecuador
62219,Mirandanos Flowers,Ecuador
62220,Optimum Flowers,Ecuador
62221,Spring Farms,Ecuador
62222,Zveti Flowers,Ecuador
62224,Green Star Farms,Ecuador
